rank,origin_lat,origin_lon,dest_lat,dest_lon,short_dist_m,short_time_s,fast_dist_m,fast_time_s,dist_agreement,time_saved_s,routes_agree,mean_flow_ratio,flow_std,congestion_label,flow_agreement_score
0,40.75376,-73.90745,40.7464,-73.91364,1699,370,1699,370,1.0,0,True,1.0,0.0,free,1.0
1,40.80079,-73.93245,40.76539,-73.90254,7118,693,7118,693,1.0,0,True,1.0,0.0,free,1.0
2,40.78238,-73.93297,40.79844,-73.94411,5481,886,5482,879,0.9998,7,True,1.0,0.0,free,0.9998
3,40.76672,-73.90388,40.80292,-73.93243,6714,546,6719,459,0.9993,87,True,1.0,0.0,free,0.9993
4,40.74872,-73.91512,40.7661,-74.01984,13212,2014,13239,1968,0.998,46,True,1.0,0.0,free,0.998
5,40.72495,-73.91698,40.77043,-73.95744,8130,1213,8367,1035,0.9717,178,True,1.0,0.0,free,0.9717
6,40.73879,-73.9346,40.7521,-73.91995,2691,555,2779,543,0.9683,12,True,1.0,0.0,free,0.9683
7,40.78989,-73.92445,40.81095,-73.99786,17404,1693,18066,1446,0.9634,247,True,1.0,0.0,free,0.9634
8,40.7458,-73.92735,40.76538,-73.96262,4751,720,4939,677,0.9619,43,True,1.0,0.0,free,0.9619
9,40.7661,-73.9666,40.79624,-73.97381,5051,1151,5274,829,0.9577,322,True,1.0,0.0,free,0.9577
10,40.79458,-73.93806,40.81126,-73.98727,15655,2370,16372,1368,0.9562,1002,True,1.0,0.0,free,0.9562
11,40.79981,-73.92421,40.8009,-74.00229,17861,1615,18722,1440,0.954,175,True,1.0,0.0,free,0.954
12,40.78236,-73.95148,40.76648,-73.95908,2678,480,2678,480,1.0,0,True,0.95,0.1,free,0.95
13,40.77372,-73.95704,40.79581,-73.95173,3764,947,3770,789,0.9984,158,True,0.9429,0.07,free,0.9414
14,40.75223,-73.98284,40.75537,-73.96576,2050,515,2054,459,0.9981,56,True,0.9385,0.1231,free,0.9366
15,40.72757,-73.95012,40.72781,-73.90811,4617,537,4674,527,0.9878,10,True,0.9412,0.1176,free,0.9297
16,40.76015,-74.01545,40.75595,-73.92333,11742,2255,12200,1798,0.9625,457,True,0.966,0.0681,free,0.9297
17,40.79346,-73.94973,40.78711,-73.97972,3776,664,3919,598,0.9635,66,True,0.9619,0.0762,free,0.9268
18,40.80754,-73.91667,40.71977,-73.90144,11886,1422,12914,1074,0.9204,348,False,1.0,0.0,free,0.9204
19,40.79131,-73.9705,40.75299,-73.91711,9952,1882,10179,1528,0.9777,354,True,0.9412,0.1176,free,0.9202
20,40.77851,-74.01745,40.75483,-74.00284,6068,810,6079,798,0.9982,12,True,0.9215,0.0965,free,0.9198
21,40.71401,-73.97944,40.70599,-73.9628,3888,573,3932,571,0.9888,2,True,0.9281,0.1077,free,0.9177
22,40.74207,-73.93839,40.74656,-73.98879,5617,1014,5617,1014,1.0,0,True,0.913,0.1739,free,0.913
23,40.77864,-73.97179,40.7981,-73.94588,5780,1106,6128,858,0.9432,248,False,0.9619,0.0762,free,0.9073
24,40.73585,-73.973,40.81759,-73.91095,11088,1659,11379,1510,0.9744,149,True,0.9303,0.1394,free,0.9065
25,40.71647,-73.96453,40.74498,-73.97198,6782,975,6782,975,1.0,0,True,0.9043,0.1913,free,0.9043
26,40.74368,-73.98002,40.81996,-73.90814,11189,1633,11772,1568,0.9505,65,True,0.9474,0.1053,free,0.9005
27,40.71059,-74.00451,40.72591,-74.00175,2440,696,2440,696,1.0,0,True,0.8952,0.136,free,0.8952
28,40.76115,-73.96301,40.70157,-73.95774,9586,1675,10708,1481,0.8952,194,False,1.0,0.0,free,0.8952
29,40.76238,-73.9493,40.77933,-74.01146,14537,2032,14559,2014,0.9985,18,True,0.8955,0.1394,free,0.8942
30,40.73508,-73.90925,40.77581,-73.98647,9083,1557,9458,1387,0.9604,170,True,0.93,0.14,free,0.8931
31,40.77251,-74.01804,40.79653,-73.95128,12120,2355,12139,1777,0.9984,578,True,0.8912,0.0915,free,0.8898
32,40.79256,-73.91467,40.78852,-73.95764,6670,1189,6987,1045,0.9546,144,True,0.9313,0.1373,free,0.8891
33,40.77658,-73.93769,40.79859,-73.90823,7266,943,7266,939,1.0,4,True,0.8823,0.1482,free,0.8823
34,40.72232,-73.99758,40.78213,-74.00453,11337,1909,12218,1769,0.9279,140,False,0.9373,0.1255,free,0.8697
35,40.80127,-74.00146,40.74595,-73.99387,9787,1569,10587,1243,0.9244,326,False,0.94,0.12,free,0.869
36,40.77255,-73.98211,40.71943,-73.91636,10157,1812,10514,1584,0.966,228,True,0.8985,0.1244,free,0.868
37,40.75578,-73.92365,40.79168,-73.94336,8289,1134,9113,896,0.9096,238,False,0.9538,0.0923,free,0.8676
38,40.70786,-73.90742,40.72515,-73.91166,2889,656,3054,577,0.946,79,False,0.9155,0.1063,free,0.8661
39,40.74708,-73.9309,40.78109,-73.91613,4912,1028,5006,864,0.9812,164,True,0.8784,0.1518,free,0.8619
40,40.76783,-73.90049,40.78516,-73.92955,8063,855,9359,818,0.8615,37,False,1.0,0.0,free,0.8615
41,40.7477,-73.95177,40.73374,-73.94256,2952,431,2952,431,1.0,0,True,0.8597,0.1848,free,0.8597
42,40.74783,-73.99083,40.7905,-73.96556,5820,1222,5902,1261,0.9861,-39,True,0.87,0.1661,free,0.8579
43,40.73403,-73.93665,40.76831,-73.96532,5716,953,5862,898,0.9751,55,True,0.8788,0.1497,free,0.8569
44,40.75858,-73.9834,40.7495,-73.9392,5991,1648,6421,1513,0.933,135,False,0.9121,0.1127,free,0.851
45,40.74651,-73.92944,40.72777,-73.99124,7373,1274,7411,1271,0.9949,3,True,0.8532,0.134,free,0.8488
46,40.73165,-73.9732,40.7864,-73.97666,7745,1735,8608,1194,0.8997,541,False,0.9429,0.1143,free,0.8483
47,40.81923,-73.94716,40.71048,-73.91667,15838,2650,17217,1680,0.9199,970,False,0.9167,0.1026,free,0.8433
48,40.77241,-74.01878,40.81103,-73.95093,11918,2137,12251,1635,0.9728,502,True,0.8663,0.1642,free,0.8427
49,40.79396,-73.94922,40.73513,-73.90538,11239,1719,12812,1052,0.8772,667,False,0.9583,0.0833,free,0.8407
50,40.7785,-73.93797,40.80955,-73.95931,5498,1093,5605,980,0.9809,113,True,0.8568,0.1971,free,0.8404
51,40.75299,-74.00878,40.79479,-73.98367,5790,1320,5790,1321,1.0,-1,True,0.8376,0.2015,moderate,0.8376
52,40.74617,-73.91659,40.8028,-74.01478,16527,2415,17459,2005,0.9466,410,False,0.876,0.152,free,0.8292
53,40.81929,-74.00065,40.81281,-73.91634,13492,2205,14645,1285,0.9213,920,False,0.8991,0.1279,free,0.8283
54,40.70694,-73.96701,40.71208,-73.92542,3942,761,3942,761,1.0,0,True,0.825,0.1649,moderate,0.825
55,40.75798,-74.01243,40.80433,-73.96879,14114,2026,15694,1655,0.8993,371,False,0.9158,0.1031,free,0.8236
56,40.72182,-73.9454,40.7574,-73.96627,7152,943,7152,943,1.0,0,True,0.8234,0.1521,moderate,0.8234
57,40.7227,-73.95171,40.76257,-73.92788,5695,1141,6115,996,0.9313,145,False,0.8824,0.1488,free,0.8217
58,40.75349,-73.98723,40.81299,-73.92314,10003,1508,11086,1489,0.9023,19,False,0.9084,0.1122,free,0.8197
59,40.73717,-74.01165,40.7299,-73.90824,11938,2463,13462,1654,0.8868,809,False,0.9226,0.1548,free,0.8181
60,40.81001,-73.92077,40.76931,-73.94197,9562,1262,9608,1205,0.9952,57,True,0.8209,0.1506,moderate,0.8169
